sample;H2O_Avg.d2H_VSMOW ;H2O_SD.d2H_VSMOW 
ROT-190130A;-81.62694245;0.29565598
ROT-190213A;-82.31366961;0.181709016
ROT-190227A;-83.08241669;0.397454557
ROT-190313A;-82.08878507;0.447764214
ROT-190327A;-82.21613163;0.223360322
ROT-190410A;-83.06436995;0.302083046
ROT-190424A;-82.7129266;0.415400108
ROT-190508A;-82.31978849;0.366061186
ROT-190522A;-82.46670566;0.253388207
ROT-190604A;-79.93728673;0.29370904
ROT-190619A;-79.67394136;0.148927275
ROT-190717A;-78.41325585;0.368777146
ROT-190731A;-78.60395656;0.215286534
ROT-190814A;-77.66956986;0.314192616
ROT-190911A;-76.41141216;0.204679729
ROT-190925A;-76.84018076;0.23720306
ROT-191009A;-76.81523016;0.169465336
ROT-191023A;-76.85827139;0.194783213
ROT-191106A;-77.75901973;0.216102406
ROT-191120A;-78.3003609;0.387863109
ROT-191204A;-79.0189123;0.245662285
ROT-191218A;-79.3269953;0.185574558
ROT-200107A;-80.01668568;0.353775765
ROT-200121A;-80.47484257;0.067352308
ROT-200206A;-80.0645627;0.239103883
ROT-190130D;-81.97418828;0.143806293
ROT-190213B;-82.23614436;0.243164468
ROT-190313B;-82.18893491;0.269217384
ROT-190327B;-81.99552341;0.107131928
ROT-190410B;-83.30971914;0.275170099
ROT-190424B;-82.55609666;0.310238282
ROT-190508B;-82.22232456;0.36411262
ROT-190522B;-82.26406761;0.200216966
ROT-190604B;-81.70430519;0.303859068
ROT-190619B;-80.827936;0.213110105
ROT-190717B;-82.20094822;0.332421294
ROT-190731B;-81.93928581;0.232110157
ROT-190814B;-78.82654407;0.304993443
ROT-190911B;-79.82527255;0.4206597
ROT-190925B;-80.70227878;0.156124683
ROT-191009B;-80.57256934;0.155619059
ROT-191023B;-80.43125537;0.118405377
ROT-191106B;-78.94654305;0.148388847
ROT-191120B;-78.40256544;0.259091924
ROT-191204B;-78.80738469;0.32061107
ROT-191218B;-79.40538802;0.094251437
ROT-200107B;-80.22867306;0.230617559
ROT-200121B;-79.95335277;0.268045239
ROT-200206B;-80.67121526;0.295605452
